Name,Label,URL,Latitude,Longitude
Bishopton,Bishopton,https://www.wikidata.org/wiki/Q2098147,55.9084,-4.50518
Blackburn,Blackburn,https://www.wikidata.org/wiki/Q1016707,55.8725,-3.62154
Blackhillock,Keith,https://www.wikidata.org/wiki/Q1235112,57.5428,-2.9555
Blackshiels,"Fala, Blackshiels",https://www.wikidata.org/wiki/Q17827718,55.8381,-2.9009
Bladeira,,,NA,NA
Blair Athol,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Blair Athole,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Blair-Atholl,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Blairadam,"Blairadam, North Blair",https://www.wikidata.org/wiki/Q17834552,56.149,-3.40159
Blairathole,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Blairatholl,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Blairdrummond,Blair Drummond,https://www.wikidata.org/wiki/Q881168,56.1667,-4.0435
Blairgowrie,Blairgowrie and Rattray,https://www.wikidata.org/wiki/Q881185,56.592,-3.34014
Blairlogie,Blairlogie,https://www.wikidata.org/wiki/Q45832,56.1495,-3.88651
Blantyre,"Blantyre, South Lanarkshire",https://www.wikidata.org/wiki/Q881708,55.793,-4.097
Blorgan,,,NA,NA
Bo-ness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Bo'ness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Bocharm,"Boharm, Old Parish Church And Burial Ground",https://www.wikidata.org/wiki/Q17829603,57.503,-3.13428
Bogroy,Bogroy,https://www.wikidata.org/wiki/Q1996908,57.2857,-3.82463
Bona,"Caledonian Canal, Bona Lighthouse",https://www.wikidata.org/wiki/Q17825309,57.40825,-4.329
Bonar Bridge,Bonar Bridge,https://www.wikidata.org/wiki/Q1993025,57.8918,-4.3371
Bonar-bridge,Bonar Bridge,https://www.wikidata.org/wiki/Q1993025,57.8918,-4.3371
Bonaw,Bonawe,https://www.wikidata.org/wiki/Q3778262,56.4514,-5.23472
Bonchester Bridge,Bonchester Bridge,https://www.wikidata.org/wiki/Q31105064,55.39928,-2.65713
Bonhill,Bonhill,https://www.wikidata.org/wiki/Q4093370,55.98333333,-4.566666667
Bonnyrig,Bonnyrigg,https://www.wikidata.org/wiki/Q4942522,55.8747,-3.1031
Bonnyrigg,Bonnyrigg,https://www.wikidata.org/wiki/Q4942522,55.8747,-3.1031
Borro-stouness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Borrowstoness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Borrowstonness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Borrowstounness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Borrowstowness,Bo'ness,https://www.wikidata.org/wiki/Q896424,56.01681111,-3.608911111
Boston,Boston,https://www.wikidata.org/wiki/Q100,42.35777778,-71.06166667
Botherton,Brotherton,https://www.wikidata.org/wiki/Q990845,53.72742,-1.27151
Bothwell,Bothwell,https://www.wikidata.org/wiki/Q1773759,55.8023,-4.06622
Botriphnie,"Drummuir, Botriphnie Parish Church",https://www.wikidata.org/wiki/Q17829645,57.4829,-3.04338
Bowden,"Bowden, Scottish Borders",https://www.wikidata.org/wiki/Q4950728,55.5661,-2.7071
Bowman,Islay,https://www.wikidata.org/wiki/Q273,55.76666667,-6.15
Bowmore,Bowmore,https://www.wikidata.org/wiki/Q51906,55.75694444,-6.286388889
Bracadale,Bracadale,https://www.wikidata.org/wiki/Q2258259,57.3596,-6.4082
Brachead,"Braehead, South Lanarkshire",https://www.wikidata.org/wiki/Q4955312,55.7716,-4.24
Braco,Braco,https://www.wikidata.org/wiki/Q1011140,56.2636,-3.8801
Brae,Brae,https://www.wikidata.org/wiki/Q1010066,60.3957,-1.35023
Braehead,"Braehead, South Lanarkshire",https://www.wikidata.org/wiki/Q4955312,55.7716,-4.24
Braemar,Braemar,https://www.wikidata.org/wiki/Q897175,57.01,-3.4
Braidwood,Braidwood,https://www.wikidata.org/wiki/Q31096181,55.82314,-3.28995
Brampton,"Brampton, Lincolnshire",https://www.wikidata.org/wiki/Q4956207,53.3049,-0.732086
Brazil,Brazil,https://www.wikidata.org/wiki/Q155,-11,-53
Brazils,Brazil,https://www.wikidata.org/wiki/Q155,-11,-53
Brechen,Brechin,https://www.wikidata.org/wiki/Q45848,56.73,-2.655277778
Brechin,Brechin,https://www.wikidata.org/wiki/Q45848,56.73,-2.655277778
Bridge of Allan,Bridge of Allan,https://www.wikidata.org/wiki/Q187892,56.1549,-3.94152
Bridge of Earn,Bridge of Earn,https://www.wikidata.org/wiki/Q1016971,56.3509,-3.40125
Bridge of Weir,Bridge of Weir,https://www.wikidata.org/wiki/Q1009612,55.85651111,-4.577666667
Bridge-hallkirk,Halkirk,https://www.wikidata.org/wiki/Q1011584,58.51,-3.49
Bristol,Bristol,https://www.wikidata.org/wiki/Q23154,51.45,-2.583333333
"Bristol, via Dublin",Bristol,https://www.wikidata.org/wiki/Q23154,51.45,-2.583333333
British North America,North America,https://www.wikidata.org/wiki/Q49,48,-100
British West Indies,West Indies,https://www.wikidata.org/wiki/Q669037,21.98333333,-79.03333333
