Source,Target,SourceLabel,TargetLabel,Name,Name_From_Loc,From_Loc_Address,Type,Subtype,Travel_Frequecy,Directory,Date,Travel_Cost,Capacity_Persons,Notes,X
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1055,Aberdeen,Hamburgh,Hazard,,,Ship,Steam,9,directoryforcity182425uns,1824,3 guineas,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q55,Aberdeen,Holland,,,,Mail,,,directoryforcity182425uns,1824,2s. 5d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q128147,Aberdeen,Hull,Aberdeen and Hull Shipping Co,,,Ship,Sail,50,directoryforcity182425uns,1824,1.5 guineas,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1016931,Aberdeen,Huntly,Fochabers Mail,Royal Mail Office,63 Union St,Coach,Mail,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1016931,Aberdeen,Huntly,Duke of Gordon Light Post Coach,Anderson's New Inn,5 Castle St,Coach,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1016931,Aberdeen,Huntly,North Mail,,,Mail,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q1011728,https://www.wikidata.org/wiki/Q160493,Fochabers,Inverness,Duke of Gordon Light Post Coach,Anderson's New Inn,5 Castle St,Coach,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q54809,https://www.wikidata.org/wiki/Q160493,Banff,Inverness,Inverness Royal Mail Coach,Royal Mail Office,63 Union St,Coach,Mail,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q160493,Aberdeen,Inverness,Eliza,,,Ship,Sail,,directoryforcity182425uns,1824,15s,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1012490,Greenock,Campbelton,Britannia,,,Ship,"Steam, Passage",25,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q6406587,Greenock,Kilbride,James Galbreith,"William Hyslop's, stabler",Market Street,Carrier,,100,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q211870,Greenock,Paisley,George Menie,,6 Market Street,Carrier,,150,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q211870,Greenock,Paisley,Greenock and Paisley Caravan,Hugh Ross's grocer,Market Street,Carrier,,150,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1018540,Greenock,Leith,William McCorkle,,9 Coal Breast,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1018540,Greenock,Leith,Thomas Jackson,,Weirsland Breast,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1020950,Greenock,Innerkip,Robert Cochran,,,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1786145,Greenock,Port-Glasgow,John Miller,,,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1786145,Greenock,Port-Glasgow,John Miller,,,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q23436,Greenock,Edinburgh,William McCorkle,,9 Coal Breast,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q23436,Greenock,Edinburgh,Thomas Jackson,,Weirsland Breast,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q4093,Greenock,Glasgow,William McCorkle,,9 Coal Breast,Carrier,,300,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
